Date,Price
2017-01-01,13.0
2017-01-02,12.75
2017-01-03,13.0
2017-01-04,13.13
2017-01-05,13.25
2017-01-06,13.38
2017-01-07,13.38
2017-01-08,13.44
2017-01-09,13.5
2017-01-10,13.63
2017-01-11,13.63
2017-01-12,13.75
2017-01-13,13.75
2017-01-14,13.63
2017-01-15,13.56
2017-01-16,13.5
2017-01-17,14.38
2017-01-18,14.5
2017-01-19,14.5
2017-01-20,14.63
2017-01-21,14.5
2017-01-22,14.5
2017-01-23,14.5
2017-01-24,14.63
2017-01-25,14.5
2017-01-26,14.63
2017-01-27,14.75
2017-01-28,14.75
2017-01-29,14.69
2017-01-30,14.63
2017-01-31,14.5
2017-02-01,14.5
2017-02-02,14.63
2017-02-03,14.5
2017-02-04,14.5
2017-02-05,14.44
2017-02-06,14.38
2017-02-07,14.5
2017-02-08,14.5
2017-02-09,14.5
2017-02-10,14.38
2017-02-11,14.38
2017-02-12,14.31
2017-02-13,14.25
2017-02-14,14.38
2017-02-15,14.38
2017-02-16,14.38
2017-02-17,14.38
2017-02-18,14.38
2017-02-19,14.31
2017-02-20,14.25
2017-02-21,13.75
2017-02-22,13.63
2017-02-23,13.38
2017-02-24,13.38
2017-02-25,13.38
2017-02-26,13.38
2017-02-27,13.38
2017-02-28,13.25
2017-03-01,13.25
2017-03-02,13.25
2017-03-03,13.25
2017-03-04,13.25
2017-03-05,13.31
2017-03-06,13.38
2017-03-07,13.25
2017-03-08,13.25
2017-03-09,13.25
2017-03-10,13.25
2017-03-11,13.25
2017-03-12,13.25
2017-03-13,13.25
2017-03-14,12.63
2017-03-15,12.38
2017-03-16,12.38
2017-03-17,12.25
2017-03-18,12.25
2017-03-19,11.88
2017-03-20,11.5
2017-03-21,11.38
2017-03-22,11.25
2017-03-23,11.25
2017-03-24,10.75
2017-03-25,10.5
2017-03-26,10.13
2017-03-27,9.75
2017-03-28,9.75
2017-03-29,9.75
2017-03-30,9.63
2017-03-31,9.5
2017-04-01,9.5
2017-04-02,9.5
2017-04-03,9.5
2017-04-04,10.25
2017-04-05,10.5
2017-04-06,10.5
2017-04-07,10.5
2017-04-08,10.5
2017-04-09,10.5
2017-04-10,10.5
