Date,Price
2017-01-01,1.86
2017-01-02,1.83
2017-01-03,1.61
2017-01-04,1.61
2017-01-05,1.66
2017-01-06,1.66
2017-01-07,1.63
2017-01-08,1.62
2017-01-09,1.61
2017-01-10,1.45
2017-01-11,1.45
2017-01-12,1.41
2017-01-13,1.41
2017-01-14,1.41
2017-01-15,1.4
2017-01-16,1.39
2017-01-17,1.39
2017-01-18,1.39
2017-01-19,1.41
2017-01-20,1.41
2017-01-21,1.41
2017-01-22,1.4
2017-01-23,1.39
2017-01-24,1.39
2017-01-25,1.39
2017-01-26,1.41
2017-01-27,1.41
2017-01-28,1.41
2017-01-29,1.4
2017-01-30,1.39
2017-01-31,1.61
2017-02-01,1.61
2017-02-02,1.63
2017-02-03,1.66
2017-02-04,1.66
2017-02-05,1.65
2017-02-06,1.63
2017-02-07,1.66
2017-02-08,1.66
2017-02-09,1.61
2017-02-10,1.39
2017-02-11,1.39
2017-02-12,1.39
2017-02-13,1.39
2017-02-14,1.23
2017-02-15,1.23
2017-02-16,1.17
2017-02-17,1.23
2017-02-18,1.2
2017-02-19,1.18
2017-02-20,1.17
2017-02-21,1.23
2017-02-22,1.23
2017-02-23,1.39
2017-02-24,1.41
2017-02-25,1.41
2017-02-26,1.41
2017-02-27,1.41
2017-02-28,1.45
2017-03-01,1.45
2017-03-02,1.61
2017-03-03,1.61
2017-03-04,1.61
2017-03-05,1.64
2017-03-06,1.66
2017-03-07,1.82
2017-03-08,1.82
2017-03-09,1.87
2017-03-10,1.85
2017-03-11,1.87
2017-03-12,1.87
2017-03-13,1.87
2017-03-14,1.88
2017-03-15,1.85
2017-03-16,1.85
2017-03-17,2.58
2017-03-18,2.58
2017-03-19,2.58
2017-03-20,2.58
2017-03-21,2.58
2017-03-22,2.83
2017-03-23,3.15
2017-03-24,3.8
2017-03-25,4.02
2017-03-26,4.13
2017-03-27,4.13
2017-03-28,4.24
2017-03-29,4.24
2017-03-30,4.35
2017-03-31,4.02
2017-04-01,3.7
2017-04-02,1.85
2017-04-03,1.85
2017-04-04,1.63
2017-04-05,1.63
2017-04-06,1.61
2017-04-07,1.61
2017-04-08,1.61
2017-04-09,1.41
2017-04-10,1.41
