Date,Price
2017-01-01,1.19
2017-01-02,1.25
2017-01-03,1.25
2017-01-04,1.23
2017-01-05,1.2
2017-01-06,1.25
2017-01-07,1.15
2017-01-08,1.31
2017-01-09,1.48
2017-01-10,1.35
2017-01-11,1.25
2017-01-12,1.43
2017-01-13,1.43
2017-01-14,1.43
2017-01-15,1.43
2017-01-16,1.43
2017-01-17,1.45
2017-01-18,1.45
2017-01-19,1.4
2017-01-20,1.43
2017-01-21,1.43
2017-01-22,1.44
2017-01-23,1.45
2017-01-24,1.58
2017-01-25,1.35
2017-01-26,1.45
2017-01-27,1.53
2017-01-28,1.53
2017-01-29,1.53
2017-01-30,1.53
2017-01-31,1.55
2017-02-01,1.6
2017-02-02,1.6
2017-02-03,1.55
2017-02-04,1.55
2017-02-05,1.64
2017-02-06,1.73
2017-02-07,1.85
2017-02-08,1.85
2017-02-09,1.85
2017-02-10,1.85
2017-02-11,1.9
2017-02-12,1.93
2017-02-13,1.95
2017-02-14,1.95
2017-02-15,1.95
2017-02-16,1.95
2017-02-17,1.85
2017-02-18,1.75
2017-02-19,1.75
2017-02-20,1.75
2017-02-21,1.93
2017-02-22,1.93
2017-02-23,1.9
2017-02-24,1.85
2017-02-25,1.88
2017-02-26,1.84
2017-02-27,1.8
2017-02-28,1.73
2017-03-01,1.73
2017-03-02,1.55
2017-03-03,1.5
2017-03-04,1.45
2017-03-05,1.59
2017-03-06,1.73
2017-03-07,1.6
2017-03-08,1.8
2017-03-09,1.8
2017-03-10,1.9
2017-03-11,1.73
2017-03-12,1.66
2017-03-13,1.6
2017-03-14,1.6
2017-03-15,1.8
2017-03-16,1.88
2017-03-17,1.93
2017-03-18,1.95
2017-03-19,2.01
2017-03-20,2.08
2017-03-21,2.35
2017-03-22,2.45
2017-03-23,2.7
2017-03-24,2.73
2017-03-25,2.63
2017-03-26,2.73
2017-03-27,2.73
2017-03-28,2.8
2017-03-29,2.5
2017-03-30,2.4
2017-03-31,2.4
2017-04-01,2.28
2017-04-02,2.28
2017-04-03,2.4
2017-04-04,2.4
2017-04-05,2.28
2017-04-06,2.28
2017-04-07,2.18
2017-04-08,2.13
2017-04-09,2.28
2017-04-10,2.28
